benefit Smooth It Off 2-in-1 Facial Cleansing Exfoliator ,https://www.lookfantastic.com/benefit-smooth-it-off-2-in-1-facial-cleansing-exfoliator/11679528.html,Exfoliator,"['hydrogenated jojoba oil', 'behenyl alcohol', 'glycereth-26', 'butylene glycol', 'capric triglyceride', 'cetearyl alcohol', 'diisopropyl adipate', 'arachidyl alcohol', 'olea europaea fruit oil', 'palmitic acid', 'stearic acid', 'phenoxyethanol', 'titanium dioxide', 'myristyl myristate', 'perlite', 'arachidyl glucoside', 'butyrospermum parkii', 'parfum', 'sodium polyacrylate', 'simmondsia chinensis leaf extract', 'potassium jojobate', 'simmondsia chinensis leaf extract', 'dipotassium glycyrrhizate', 'disodium edta', 'ethylhexyl glycerin', 'propanediol', 'linalool', 'bht', 'tocopherol']",£21.50
bareMinerals Poreless Exfoliating Essence 150ml,https://www.lookfantastic.com/bareminerals-poreless-exfoliating-essence-150ml/12318818.html,Exfoliator,"['dipropylene glycol', 'butylene glycol', 'glycerin', 'coconut acid', 'polyurethane-35', 'saccharum officinarum extract', 'acer saccharum extract', 'citrus aurantium dulcis', 'citrus limon juice extract', 'morinda citrifolia extract', 'salvia hispanica herb extract', 'leuconostoc/radish root ferment filtrate', 'vaccinium myrtillus extract', 'caprylyl glycol', 'xylitol', 'citric acid', 'trisodium edta', 'sodium citrate', 'methylpropanediol', 'phenylpropanol', 'phenoxyethanol']",£22.00
Frank Body Creamy Face Scrub 125ml,https://www.lookfantastic.com/frank-body-creamy-face-scrub-125ml/11771313.html,Exfoliator,"['kaolin', 'coffea arabica seed extract', 'cetearyl olivate', 'bambusa arundinacea stem extract', 'juglans regia (walnut) shell powder', 'sorbitan olivate', 'sodium lauroyl', 'vitis vinifera extract', 'glycerin', 'prunus amygdalus dulcis', 'mel', 'olus oil', 'cocos nucifera fruit extract', 'butyrospermum parkii', 'theobroma cacao extract', 'tocopherol', 'glycine soja extract', 'rosa canina flower oil', 'chondrus crispus extract', 'xanthan gum', 'citric acid', 'benzyl alcohol', 'potassium sorbate', 'dehydroacetic acid']",£15.95
Gallinée Prebiotic Face Mask and Scrub 100ml,https://www.lookfantastic.com/gallinee-prebiotic-face-mask-and-scrub-100ml/11261914.html,Exfoliator,"['kaolin', 'cetearyl alcohol', 'olea europaea fruit oil', 'glycerin', 'decyl oleate', 'cetyl alcohol', 'behenyl alcohol', 'lactic acid', 'cetearyl glucoside', 'alpha-glucan oligosaccharide', 'zinc pca', 'inulin', 'panthenol', 'tocopheryl acetate', 'maris sal', 'parfum', 'ethylhexyl glycerin', 'arganine', 'propanediol', 'caprylyl glycol', 'xanthan gum', 'sodium acrylate/sodium acryloyldimethyl taurate copolymer', 'isohexadecane', 'caprylhydroxamic acid', 'polysorbate 80', 'sorbitan oleate', 'tocopherol', 'silica', 'hydrogenated palm glycerides citrate', 'sodium hydroxide', 'tetrasodium glutamate diacetate', 'limonene']",£15.30
Dr Brandt Microdermabrasion Skin Exfoliant (60g),https://www.lookfantastic.com/dr-brandt-microdermabrasion-skin-exfoliant-60g/10543772.html,Exfoliator,"['alumina', 'capric triglyceride', 'glycerin', 'cetyl alcohol', 'glyceryl stearate', 'peg-12 glyceryl distearate', 'peg-100 stearate', 'ammonium acryloyldimethyltaurate/vp', 'simmondsia chinensis leaf extract', 'xanthan gum', 'lactic acid', 'parfum', 'menthone glycerin acetal', 'allantoin', 'magnesium chloride', 'magnesium nitrate', 'tocopheryl acetate', 'magnesium oxide', 'butylene glycol', 'aloe barbadenis extract', 'vitis vinifera extract', 'chamomilla recutita flower oil', 'camellia oleifera seed oil', 'camellia sinensis extract', 'methylchloroisothiazolinone', 'methylisothiazolinone', 'phenoxyethanol', 'methylparaben', 'butylparaben', 'propylparaben', 'isobutylparaben', 'citral', 'limonene']",£64.00
Filorga Scrub and Mask 55ml,https://www.lookfantastic.com/filorga-scrub-and-mask-55ml/11395483.html,Exfoliator,"['perfluorohexane', 'propanediol', 'protease', 'perlite', 'sodium polyacrylate', 'polysorbate-20', 'perfluorodecalin', 'polyacrylate-13', 'butylene glycol', 'decyl glucoside', 'benzyl alcohol', 'pentafluoropropane', 'polyisobutene', 'parfum', 'polyacrylate crosspolymer-6', 'chlorphenesin', 'sucrose palmitate', 'citric acid', 'titanium dioxide', 'disodium edta', 'sorbitan isostearate', 'glyceryl linoleate', 'prunus amygdalus dulcis', 'sodium chloride', '1,2-hexanediol', 'caprylyl glycol', 't-butyl alcohol', 'glucose', 'phenoxyethanol', 'sodium hyaluronate', 'potassium chloride', 'potassium sorbate', 'calcium chloride', 'magnesium sulfate', 'glutamine', 'sodium phosphate', 'ascorbic acid', 'sodium acetate', 'tocopherol', 'lysine hcl', 'arganine', 'alanine', 'histidine', 'valine', 'leucine', 'threonine', 'isoleucine', 'tryptophan', 'phenylalanine', 'tyrosine', 'glycine', 'polysorbate 80', 'serine', 'deoxyadenosine', 'cysteine', 'asparagine', 'aspartic acid', 'glutathione', 'cyanocobalamin', 'deoxycytidine', 'deoxyguanosine', 'deoxythymidine', 'ornithine', 'glutamic acid', 'nicotinamide adenine dinucleotide', 'proline', 'aminobutyric acid', 'methionine', 'taurine', 'hydroxyproline', 'glucosamine', 'coenzyme a', 'glucuronolactone', 'sodium glucuronate', 'sodium uridine triphosphate', 'thiamine diphosphate', 'inositol', 'deoxycytidine', 'retinyl acetate', 'disodium flavine adenine dinucleotide', 'niacin', 'niacinamide', 'pyridoxal 5-phosphate', 'pyridoxine hcl', 'biotin', 'calcium pantothenate', 'folic acid', 'riboflavin', 'tocopheryl phosphate']",£44.00
Sanctuary Spa Complexion Perfecting Radiance Exfoliator 100ml,https://www.lookfantastic.com/sanctuary-spa-complexion-perfecting-radiance-exfoliator-100ml/11975615.html,Exfoliator,"['glycerin', 'castor oil', 'polysorbate 60', 'glyceryl stearate', 'sorbitan stearate', 'prunus armeniaca fruit extract', 'peg-100 stearate', 'disodium cocoamphodiacetate', 'vitis vinifera extract', 'cucurbita pepo seed oil', 'limonene', 'diazolidinyl urea', 'sodium benzoate', 'disodium edta', 'carbomer', 'xanthan gum', 'potassium sorbate', 'carica papaya fruit extract', 'citrus nobilis oil', 'citrus limon juice extract', 'sodium hydroxide', 'citral', 'phenoxyethanol', 'ananas sativas fruit extract', 'edta', 'citric acid', 'benzoic acid', 'dehydroacetic acid', 'ethylhexyl glycerin', 'polyaminopropyl biguanide', '']",£10.00
Indeed Labs Exfoliator II 75g,https://www.lookfantastic.com/indeed-labs-exfoliator-ii-75g/12540157.html,Exfoliator,"['sodium myristoryl glutamate', 'malic acid', 'sodium carbonate', 'peg-150', 'zea mays starch', 'sorbitol', 'sodium lauroyl', 'sodium polyacrylate', 'phenoxyethanol', 'sodium dehydroacetate', 'silica', 'hydrolyzed opuntia ficus indica flower extract', 'dextrin palmitate', 'capric triglyceride', 'bromelain', 'butylene glycol', 'sorbitan trioleate', 'sodium hyaluronate', 'glycerin', 'apium graveolens (celery) seed extract', 'oryza sativa bran', 'linum usitatissimum flower extract']",£24.99
The Ritual of Namasté Skin Brightening Face Exfoliator,https://www.lookfantastic.com/the-ritual-of-namaste-skin-brightening-face-exfoliator/12063722.html,Exfoliator,"['capric triglyceride', 'cetearyl alcohol', 'glycerin', 'bambusa arundinacea stem extract', 'sesamium indicum seed oil', 'hydrogenated coco-glycerides', 'glycine soja extract', 'calendula officinalis extract', 'moringa pterygosperma seed extract', 'nelumbo nucifera flower extract', 'helianthus annuus seed oil', 'gluconolactone', 'calcium gluconate', 'cetearyl glucoside', 'sodium stearoyl glutamate', 'bisabolol', 'maltodextrin', 'tocopherol', 'acacia senegal gum', 'xanthan gum', 'phytic acid', 'citric acid', 'sodium hydroxide', 'potassium sorbate', 'sodium benzoate', 'limonene', 'linalool', 'citral', 'parfum']",£12.90
Natio Gentle Facial Scrub (100g),https://www.lookfantastic.com/natio-gentle-facial-scrub-100g/10562384.html,Exfoliator,"['cetearyl alcohol', 'hydrogenated polyisobutene', 'paraffin', 'bambusa arundinacea stem extract', 'ammonium lauryl sulfate', 'glyceryl stearate', 'potassium cetyl phosphate', 'allantoin', 'rosa canina flower oil', 'ascophyllum nodosum extract', 'propylene glycol', 'parfum', 'carbomer', 'disodium edta', 'triethanolamine', 'ethylhexyl glycerin', 'benzyl alcohol', 'phenoxyethanol']",£10.00
